cap_scale,loops,peer_exchanges,configured_output_ceiling_tokens
1x,1,3,39040
1x,1,5,55424
1x,1,10,96384
1x,2,3,77952
1x,2,5,110720
1x,2,10,192640
1x,3,3,116864
1x,3,5,166016
1x,3,10,288896
1x,5,3,194688
1x,5,5,276608
1x,5,10,481408
2x,1,3,77952
2x,1,5,110720
2x,1,10,192640
2x,2,3,155776
2x,2,5,221312
2x,2,10,385152
2x,3,3,233600
2x,3,5,331904
2x,3,10,577664
2x,5,3,389248
2x,5,5,553088
2x,5,10,962688
4x,1,3,155776
4x,1,5,221312
4x,1,10,385152
4x,2,3,311424
4x,2,5,442496
4x,2,10,770176
4x,3,3,467072
4x,3,5,663680
4x,3,10,1155200
4x,5,3,778368
4x,5,5,1106048
4x,5,10,1925248
