PuzzleID,time_taken_seconds,total_tokens,total_completion_tokens,trusted_model_solve_count,AEN triadic runtime,AEN recovered by certified memory
p01,395.6737,450910.0,12987,2,0,1
p02,365.934,446796.0,11957,8,1,0
p03,320.9782,430981.0,9387,9,1,0
p04,305.6554,433620.0,9469,10,1,0
p05,485.8055,459442.0,15961,7,0,1
p06,346.5872,440457.0,10634,6,1,0
p07,858.1422,507272.0,29316,6,1,0
p08,400.5095,452910.0,13101,0,0,1
p09,695.5739,500097.0,23489,1,0,1
p10,466.8684,474021.0,15912,9,1,0
p11,487.985,439531.0,16818,7,1,0
p12,582.2649,496577.0,19840,6,1,0
p13,429.4764,457795.0,14687,3,1,0
p14,478.4883,477035.0,16272,7,0,1
p15,855.7581,514612.0,30730,5,0,1
p16,447.1001,476172.0,15629,6,1,0
p17,283.1145,431690.0,9461,9,1,0
p18,799.4799,515089.0,28827,2,0,1
p19,413.1212,467101.0,14262,5,0,1
p20,410.3355,455768.0,13362,1,0,1
p21,297.4227,422227.0,9313,10,1,0
p22,576.1038,477546.0,17436,5,1,0
p23,497.1657,471190.0,15674,6,1,0
p24,490.1389,462020.0,14515,7,1,0
p25,645.9396,496211.0,19271,2,0,1
